100 5
11 0 9
2 2 12
3 5 24
10 0 4
4 6 6
6 8 45
7 0 3
8 6 56
9 10 76
5 12 44
1 3 5
21 0 9
12 2 12
13 5 24
20 0 4
14 6 6
16 8 45
17 0 3
18 6 56
19 10 76
15 12 44
22 3 5 3
23	12	7
24	13	19
25	5	27
26	2	32
27	45	5
28	5	6
29	45	22
30	3	3
31	2	6
32	43	14
33	75	30
34	6	12
35	3	13
36	6	11
37	14	10
38	30	14
39	12	2
40	13	5
41	5	6
42	23	7
43	2	11
44	2	14
45	44	30
46	7	12
47	56	13
48	88	5
49	65	2
50	45	45
51	34	5
52	13	6
53	16	45
54	14	31
55	15	36
56	15	3
57	13	12
58	13	29
59	13	47
60	15	26
61	15	50
62	17	25
63	17	17
64	15	29
65	14	21
66	13	18
67	14	43
68	17	13
69	16	32
70	16	3
71	13	32
72	22	5
73	25	54
74	21	4
75	21	12
76	24	22
77	20	16
78	20	28
79	22	29
80	25	46
81	20	29
82	20	32
83	22	39
84	21	20
85	5	5
86	23	21
87	2	7
88	2	14
89	44	43
90	7	26
91	56	44
92	88	40
93	65	22
94	45	3
95	34	53
96	2	24
97	6	45
98	2	15
99	5	1
100	 7	31

